prefix	name	norm_name
улица	маяковского	маяковского
улица	менжинского	менжинского
улица	металлургов	металлургов
улица	миклухо-маклая	миклухо-маклая
улица	михаила кутузова	михаила кутузова
улица	молодцова	молодцова
улица	москворечье	москворечье
улица	мусы джалиля	мусы джалиля
улица	наметкина	наметкина
улица	народного ополчения	народного ополчения
улица	нижние мневники	нижние мневники
улица	нижние поля	нижние поля
улица	новаторов	новаторов
улица	новый арбат	новый арбат
улица	образцова	образцова
улица	обручева	обручева
улица	олений вал	олений вал
улица	орджоникидзе	орджоникидзе
улица	остоженка	остоженка
улица	островитянова	островитянова
улица	охотный ряд	охотный ряд
улица	панфилова	панфилова
улица	паперника	паперника
улица	паршина	паршина
улица	перерва	перерва
улица	петровка	петровка
улица	петровские линии	петровские линии
улица	плеханова	плеханова
улица	плющиха	плющиха
улица	погодина	погодина
улица	покровка	покровка
улица	покрышкина	покрышкина
улица	поликарпова	поликарпова
улица	полосухина	полосухина
улица	правды	правды
улица	пресненский вал	пресненский вал
улица	пречистенка	пречистенка
улица	пришвина	пришвина
улица	прокофьева	прокофьева
улица	радио	радио
улица	раменки	раменки
улица	ремизова	ремизова
улица	репина	репина
улица	римского-корсакова	римского-корсакова
улица	рогова	рогова
улица	рогожский вал	рогожский вал
улица	рождественка	рождественка
улица	розанова	розанова
улица	россолимо	россолимо
улица	руставели	руставели
улица	савельева	савельева
улица	садовники	садовники
улица	самеда вургуна	самеда вургуна
улица	светланова	светланова
улица	свободы	свободы
улица	свободы (дублер)	свободы ( дублер )
улица	семашко	семашко
улица	серафимовича	серафимовича
улица	сергея капицы	сергея капицы
улица	сергия радонежского	сергия радонежского
улица	серпуховский вал	серпуховский вал
улица	симоновский вал	симоновский вал
улица	соловьиная роща	соловьиная роща
улица	солянка	солянка
улица	спиридоновка	спиридоновка
улица	сретенка	сретенка
улица	станиславского	станиславского
улица	строителей	строителей
улица	стромынка	стромынка
улица	сущевский вал	сущевский вал
улица	талалихина	талалихина
улица	твардовского	твардовского
улица	тимура фрунзе	тимура фрунзе
улица	трехгорный вал	трехгорный вал
улица	тюфелева роща	тюфелева роща
улица	удальцова	удальцова
улица	улофа пальме	улофа пальме
улица	усачева	усачева
улица	фёдора полетаева	фёдора полетаева
улица	федора полетаева	федора полетаева
улица	фридриха энгельса	фридриха энгельса
улица	хачатуряна	хачатуряна
улица	чаплыгина	чаплыгина
улица	чаянова	чаянова
улица	чехова	чехова
улица	чистяковой	чистяковой
улица	шаболовка	шаболовка
улица	шверника	шверника
улица	шувалова	шувалова
улица	шухова	шухова
улица	щепкина	щепкина
улица	щипок	щипок
улица	юннатов	юннатов
улица	юных ленинцев	юных ленинцев
улица	яблочкова	яблочкова
улице	большая полянка	большая полянка
улица	уральская	уральская
улица	уржумская	уржумская
переулок	успенский	успенский
улица	уссурийская	уссурийская
улица	фасадная	фасадная
улица	фестивальная	фестивальная
бульвар	филевский	филевский
улица	флотская	флотская
набережная	фрунзенская	фрунзенская
улица	херсонская	херсонская
проезд	хибинский	хибинский
бульвар	химкинский	химкинский
тупик	хлыновский	хлыновский
улице	хованская	хованская
переулок	холодильный	холодильный
тупик	хорошевский	хорошевский
шоссе	хорошевское	хорошевское
переулок	цариков	цариков
бульвар	цветной	цветной
улица	цветочная	цветочная
улица	центральная	центральная
переулок	чапаевский	чапаевский
улица	часовая	часовая
улица	черневская	черневская
переулок	черниговский	черниговский
улица	чертановская	чертановская
транспортное кольцо	четвёртое	четвёртое
бульвар	чистопрудный	чистопрудный
набережная	шелепихинская	шелепихинская
проезд	шенкурский	шенкурский
улица	шипиловская	шипиловская
улица	широкая	широкая
набережная	шлюзовая	шлюзовая
мост	шлюзовой	шлюзовой
проезд	шмитовский	шмитовский
шоссе	энтузиастов	энтузиастов
улица	шоссейная	шоссейная
путепровод	щёлковский	щёлковский
улица	щербаковская	щербаковская
улица	электродная	электродная
проезд	электролитный	электролитный
улица	энергетическая	энергетическая
эстакада	вднх	вднх
проспект	юбилейный	юбилейный
улица	южнобутовска	южнобутовска
набережная	якиманская	якиманская
проезд	янтарный	янтарный
улица	ярославская	ярославская
шоссе	ярославское	ярославское
шоссе	ярославское (дублер)	ярославское ( дублер )
улица	ярцевская	ярцевская
улица	ясеневая	ясеневая
улица	ясная	ясная
проезд	ясный	ясный
улица	яхромская	яхромская
улица	зои космодемьянской	зои космодемьянской
