prefix	name	norm_name
переулок	большой трехсвятительский	большой трехсвятительский
переулок	большой факельный	большой факельный
переулок	большой харитоньевский	большой харитоньевский
переулок	большой черкасский	большой черкасский
проезд	борисовский	борисовский
улица	боровая	боровая
шоссе	боровское (дублер)	боровское ( дублер )
улица	ботаническая	ботаническая
улица	братиславская	братиславская
переулок	бродников	бродников
переулок	брошевский	брошевский
переулок	брюсов	брюсов
проезд	будайский	будайский
бульвар	ветеранов	ветеранов
бульвар	маршала рокоссовского	маршала рокоссовского
бульвар	строителей	строителей
бульвар	яна райниса	яна райниса
кольцо	бульварное	бульварное
улица	бутырская	бутырская
улица	вагоноремонтная	вагоноремонтная
улица	валовоя	валовоя
шоссе	варшавское	варшавское
шоссе	варшавское (дублер)	варшавское ( дублер )
улица	васильевская	васильевская
улица	велозаводская	велозаводская
улица	вельяминовская	вельяминовская
улица	вернисажная	вернисажная
улица	верхняя красносельская	верхняя красносельская
улица	верхняя первомайская	верхняя первомайская
улица	верхняя радищевская	верхняя радищевская
улица	верхняя сыромятническая	верхняя сыромятническая
улица	верхняя	верхняя
переулок	ветошный	ветошный
улица	вешняковская	вешняковская
улица	вишневая	вишневая
улица	вокзальная	вокзальная
проспект	волгоградский	волгоградский
проспект	волгоградский (дублер)	волгоградский ( дублер )
бульвар	волжский	волжский
шоссе	володарское	володарское
шоссе	волоколамское	волоколамское
шоссе	волоколамское (дублёр)	волоколамское ( дублёр )
шоссе	волоколамское (дублер)	волоколамское ( дублер )
улица	волочаевская	волочаевская
набережная	воробьевская	воробьевская
улица	воронцовская	воронцовская
переулок	воротниковский	воротниковский
улица	воротынская	воротынская
улица	восточная	восточная
шоссе	восточное	восточное
шоссе	востряковское	востряковское
шоссе	выборгское	выборгское
переулок	выползов	выползов
переулок	выставочнай	выставочнай
улица	вятская	вятская
переулок	гагаринский	гагаринский
переулок	георгиевский	георгиевский
переулок	глинистый	глинистый
переулок	глинищевский	глинищевский
переулок	глубокий	глубокий
бульвар	гоголевский	гоголевский
шоссе	головинское	головинское
улица	гольяновская	гольяновская
проезд	гольяновский	гольяновский
улица	гончарная	гончарная
улица	грайвороновская	грайвороновская
переулок	грохольский	грохольский
переулок	гусятников	гусятников
переулок	девяткин	девяткин
переулок	дегтярный	дегтярный
проезд	дегунинский	дегунинский
улица	делегатская	делегатская
переулок	денежный	денежный
набережная	дербеневская	дербеневская
улица	дербеневская	дербеневская
улица	джамгаровская	джамгаровская
переулок	дмитровский	дмитровский
шоссе	дмитровское	дмитровское
улица	днепропетровская	днепропетровская
улица	добровольческая	добровольческая
улица	доброслободская	доброслободская
переулок	докучаев	докучаев
улица	долгоруковская	долгоруковская
улица	дольская	дольская
улица	домодедовская	домодедовская
улица	донская	донская
улица	дружинниковская	дружинниковская
улица	дубининская	дубининская
улица	дубнинская	дубнинская
проезд	дубровский	дубровский
переулок	дурасовский	дурасовский
улица	елецкая	елецкая
проезд	елоховский	елоховский
улица	ельнинская	ельнинская
улица	енисейская	енисейская
переулок	ермолаевский	ермолаевский
улица	живописная	живописная
улица	житная	житная
бульвар	жулебинский	жулебинский
улица	заводская	заводская
проезд	задонский	задонский
улица	западная	западная
проезд	заревый	заревый
переулок	заставный	заставный
бульвар	звездный	звездный
шоссе	звенигородское	звенигородское
улица	зеленодольская	зеленодольская
проспект	зелёный	зелёный
проспект	зеленый	зеленый
улица	знаменская	знаменская
улица	зоологическая	зоологическая
бульвар	зубовский	зубовский
шоссе	иваньковское	иваньковское
улица	ижорская	ижорская
проезд	ижорский	ижорский
проезд	измайловский	измайловский
шоссе	измайловское	измайловское
улица	изумрудная	изумрудная
улица	иловайская	иловайская
шоссе	ильинское	ильинское
шоссе, километр	ильинское 2-й	ильинское второй
улица	каланчевская	каланчевская
переулок	калашный	калашный
переулок	калошин	калошин
переулок	камергерский	камергерский
канатная дорога		
улица	кантемировская	кантемировская
набережная	карамышевская	карамышевская
улица	каргопольская	каргопольская
улица	каспийская	каспийская
шоссе	каширское	каширское
шоссе	каширское (дублер)	каширское ( дублер )
проезд	керамический	керамический
улица	керченская	керченская
улица	киевская	киевская
улица	кировоградская	кировоградская
проезд	китайгородский	китайгородский
переулок	климентовский	климентовский
улица	кожевническая	кожевническая
переулок	козицкий	козицкий
улица	коломенская	коломенская
проезд	коломенский	коломенский
улица	композиторская	композиторская
проспект	комсомольский	комсомольский
проспект	комсомольский (дублер)	комсомольский ( дублер )
переулок	конный	конный
улица	конюшковская	конюшковская
улица	кооперативная	кооперативная
улица	коптевская	коптевская
улица	коренная	коренная
проезд	коровинский	коровинский
шоссе	коровинское	коровинское
набережная	космодамианская	космодамианская
улица	костромская	костромская
переулок	костянский	костянский
улица	котельническая	котельническая
улица	краснобогатырская	краснобогатырская
шоссе	красногорское	красногорское
улица	краснодарская	краснодарская
улица	краснодонская	краснодонская
улица	красноказарменная	красноказарменная
набережная	краснопресненская	краснопресненская
улица	краснопролетарская	краснопролетарская
улица	краснопрудная	краснопрудная
переулок	краснопрудный	краснопрудный
переулок	кривоколенный	кривоколенный
переулок	кривоникольский	кривоникольский
бульвар	кронштадтский	кронштадтский
переулок	кропоткинский	кропоткинский
улица	крылатская	крылатская
набережная	крымская	крымская
мост	крымский	крымский
тупик	крымский	крымский
переулок	кудринский	кудринский
улица	кузьминская	кузьминская
улица	куликовская	куликовская
шоссе	куркинское	куркинское
улица	кусковская	кусковская
улица	кусочная	кусочная
проезд	кутузовский	кутузовский
проспект	кутузовский	кутузовский
переулок	лаврушинский	лаврушинский
улица	ладожская	ладожская
улица	лебедянская	лебедянская
улица	левобережная	левобережная
проспект	ленинградский	ленинградский
проспект	ленинградский (дублер)	ленинградский ( дублер )
шоссе	ленинградское	ленинградское
шоссе	ленинградское (дублер)	ленинградское ( дублер )
проспект	ленинский	ленинский
проспект	ленинский (дублер)	ленинский ( дублер )
переулок	леонтьевский	леонтьевский
проспект	лермонтовский (дублёр)	лермонтовский ( дублёр )
улица	лесная	лесная
улица	летниковская	летниковская
шоссе	липкинское	липкинское
бульвар	литовский	литовский
улица	лобненская	лобненская
улица	лодочная	лодочная
проезд	локомотивный	локомотивный
проспект	ломоносовский (дублёр)	ломоносовский ( дублёр )
проспект	ломоносовский (дублер)	ломоносовский ( дублер )
переулок	лопухинский	лопухинский
проезд	лубянский	лубянский
набережная	лужнецкая	лужнецкая
переулок	луков	луков
улица	луховицкая	луховицкая
переулок	лыщиков	лыщиков
улица	люблинская	люблинская
улица	люсиновская	люсиновская
переулок	лялин	лялин
улица	макеевская	макеевская
улица	малая ботаническая	малая ботаническая
улица	малая бронная	малая бронная
улица	малая грузинская	малая грузинская
улица	малая калужская	малая калужская
улица	малая красносельская	малая красносельская
улица	малая никитская	малая никитская
улица	малая почтовая	малая почтовая
улица	малая тульская	малая тульская
переулок	малый афанасьевский	малый афанасьевский
переулок	малый гнездниковский	малый гнездниковский
переулок	малый дровяной	малый дровяной
переулок	малый ивановский	малый ивановский
переулок	малый палашевский	малый палашевский
переулок	малый песчаный	малый песчаный
переулок	малый сухаревский	малый сухаревский
переулок	малый татарский	малый татарский
переулок	малый толмачёвский	малый толмачёвский
переулок	малый толмачевский	малый толмачевский
переулок	малый черкасский	малый черкасский
переулок	мансуровский	мансуровский
улица	мантулинская	мантулинская
улица	марксистская	марксистская
тоннель	маяковский	маяковский
переулок	медовый	медовый
улица	международная	международная
переулок	мерзляковский	мерзляковский
переулок	милютинский	милютинский
улица	минская	минская
шоссе	минское	минское
улица	мироновская	мироновская
переулок	мирской	мирской
улица	митинская	митинская
улица	михалковская	михалковская
проспект	мичуринский	мичуринский
	мкад	мкад
съезд	мкад, 32b	мкад , тридцать два b
съезд	мкад, 82	мкад , восемьдесят два
шоссе	можайское	можайское
улица	молодёжная	молодёжная
улица	молодогвардейская	молодогвардейская
монорельсовая транспортная система	московская	московская
улица	московская	московская
улица	мосфильмовская	мосфильмовская
улица	моховая	моховая
улица	музейная	музейная
улица	мытная	мытная
шоссе	мякининское	мякининское
улица	мясницкая	мясницкая
набережная	тараса шевченко	тараса шевченко
улица	набережная	набережная
набережная	нагатинская	нагатинская
улица	нагатинская	нагатинская
улица	нагорная	нагорная
проезд	нагорный	нагорный
улица	народная	народная
проспект	народный	народный
переулок	наставнический	наставнический
переулок	настасьинский	настасьинский
проезд	научный	научный
проспект	нахимовский	нахимовский
улица	неглинная	неглинная
улица	нежинская	нежинская
улица	нижегородская	нижегородская
переулок	нижняя кисельный	нижняя кисельный
улица	нижняя радищевская	нижняя радищевская
улица	нижняя сыромятническая	нижняя сыромятническая
улица	нижняя	нижняя
улица	никитинская	никитинская
бульвар	никитский	никитский
переулок	никитский	никитский
улица	николоямская	николоямская
улица	никольская	никольская
улица	никольская	никольская
улица	никулинская	никулинская
улица	новая басманная	новая басманная
площадь	новая	новая
бульвар	новинский	новинский
набережная	новоданиловская	новоданиловская
проезд	новоданиловский	новоданиловский
проезд	новодевичий	новодевичий
улица	новодмитровская	новодмитровская
улица	новокосинская	новокосинская
улица	новокузнецкая	новокузнецкая
шоссе	новокуркинское	новокуркинское
улица	новомарьинская	новомарьинская
улица	новопесчаная	новопесчаная
улица	новороссийская	новороссийская
переулок	новоселенский	новоселенский
улица	новослободская	новослободская
переулок	новосущевский	новосущевский
улица	новочеремушкинская	новочеремушкинская
бульвар	новочеркасский	новочеркасский
проспект	новоясеневский	новоясеневский
шоссе	носовихинское	носовихинское
набережная	овчинниковская	овчинниковская
проезд	огородный	огородный
набережная	озерковская	озерковская
улица	озерная	озерная
проезд	окружной	окружной
улица	октябрьская	октябрьская
переулок	октябрьский	октябрьский
проспект	олимпийский	олимпийский
улица	ольховская	ольховская
тупик	ордынский	ордынский
переулок	орликов	орликов
проезд	орловский	орловский
переулок	оружейный	оружейный
бульвар	осенний	осенний
улица	осташковская	осташковская
проезд	осташковский	осташковский
шоссе	осташковское	осташковское
набережная	павелецкая	павелецкая
улица	палехская	палехская
переулок	певческий	певческий
улица	педагогическая	педагогическая
улица	первомайская	первомайская
переулок	переведеновский	переведеновский
переулок	добролюбова	добролюбова
переулок	достоевского	достоевского
переулок	сивцев вражек	сивцев вражек
переулок	переяславский	переяславский
бульвар	петровский	петровский
проезд	петровско-разумовский	петровско-разумовский
улица	петрозаводская	петрозаводская
проезд	пинский	пинский
проезд	пионерский	пионерский
шоссе	пироговское	пироговское
улица	планерная	планерная
переулок	плотников	плотников
площадь	киевского вокзала	киевского вокзала
улица	поварская	поварская
переулок	погорельский	погорельский
переулок	подколокольный	подколокольный
шоссе	подушкинское	подушкинское
улица	подъемная	подъемная
переулок	пожарский	пожарский
бульвар	покровский	покровский
улица	полимерная	полимерная
проезд	политехнический	политехнический
переулок	полянский	полянский
улица	полярная	полярная
проезд	попов	попов
улица	попутная	попутная
переулок	потаповский	потаповский
улица	правобережная	правобережная
улице	преображенска	преображенска
набережная	преображенская	преображенская
площадь	преображенская	преображенская
